epoch,total_trees,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,time_minutes
1,100,0.9557390625,0.9555127296124738,0.9559875,0.9557500558455009,0.95229375,0.9528314873912771,0.9517,0.9522654075857541,3.7434754166666666
2,200,0.9682515625,0.9701896253620391,0.966190625,0.9681859958257721,0.9639125,0.9664546779950731,0.9611875,0.9638138928580382,2.7816546
3,300,0.975315625,0.9780043997485858,0.972503125,0.9752460043873394,0.96951875,0.9727392863885218,0.9661125,0.9694145683735224,2.59240735
4,400,0.9802578125,0.9831704242134618,0.97724375,0.9801981284214453,0.97328125,0.9765755786876785,0.969825,0.9731885830401324,2.6285649833333333
5,500,0.983859375,0.9866362430619724,0.98100625,0.9838131920134634,0.9757625,0.9791042521588077,0.972275,0.9756776758946827,2.5819256
6,600,0.986696875,0.9893054848661929,0.98403125,0.986661319078669,0.97791875,0.9813786591123702,0.974325,0.9778391092990434,2.629079716666667
7,700,0.9889046875,0.9913290894758826,0.9864375,0.9888772455793278,0.97915625,0.982552211186223,0.9756375,0.9790826470643577,2.6027438
8,800,0.990903125,0.9930850262411169,0.988690625,0.9908829535346955,0.980575,0.9838531047849178,0.9771875,0.9805089741499329,2.8060233333333335
9,900,0.9925421875,0.9945373365672133,0.990525,0.9925271132863323,0.9813125,0.9846200317164648,0.9779,0.9812485105422254,2.872879783333333
10,1000,0.993853125,0.9956343108044535,0.99205625,0.9938420599514753,0.98210625,0.9855353433624976,0.978575,0.9820428387744222,2.808393383333333
11,1100,0.995071875,0.9966051433801864,0.993528125,0.9950642554443422,0.98268125,0.9861389130188466,0.979125,0.9826194403848687,2.9180587833333336
12,1200,0.9959875,0.9972991264460014,0.99466875,0.9959822015282654,0.9832125,0.9864351327544986,0.9799,0.9831567065905813,2.8811077000000003
13,1300,0.9968046875,0.9978642047607564,0.995740625,0.9968012838661138,0.98371875,0.9869753979739508,0.980375,0.9836641269244035,2.93354105
14,1400,0.9975140625,0.9983472367865024,0.996678125,0.9975119826730158,0.984125,0.987353718384296,0.9808125,0.984072239292657,3.0798978166666666
15,1500,0.9980484375,0.9986920619424444,0.997403125,0.9980471773191137,0.9843125,0.9874565950379951,0.9810875,0.9842617441248025,3.082645816666667
16,1600,0.99845625,0.9989801791881475,0.99793125,0.9984554391055304,0.98454375,0.9876709399021224,0.9813375,0.9844940339965013,2.9962679333333333
17,1700,0.9987953125,0.9992430711294192,0.998346875,0.9987947720305824,0.98486875,0.9879243764072504,0.9817375,0.9848212214496642,3.133533116666667
18,1800,0.999084375,0.9994308551557644,0.9987375,0.9990840572823698,0.985075,0.9881012276111893,0.981975,0.9850285886247366,3.17089615
19,1900,0.999309375,0.9995622784034417,0.99905625,0.9993092001412858,0.985175,0.9881527316631452,0.982125,0.9851296454185265,3.2481762166666663
20,2000,0.9994875,0.9996717539592724,0.999303125,0.9994874054903873,0.9854125,0.9885145675036482,0.9822375,0.9853660371680084,3.2233691666666666
21,2100,0.99963125,0.9997561890472618,0.99950625,0.9996312039004875,0.9856,0.9886295029180922,0.9825,0.9855552211856756,3.2720605000000003
22,2200,0.99974375,0.9998280959911985,0.999659375,0.9997437283770818,0.98565,0.9886060667035566,0.982625,0.9856064595401088,3.2795549833333335
23,2300,0.9998125,0.9998656107211391,0.999759375,0.9998124900385333,0.985675,0.9886189290475113,0.9826625,0.9856317155430735,3.271847033333333
24,2400,0.9998578125,0.9998812444333328,0.999834375,0.9998578091674024,0.98585,0.9887949898136271,0.9828375,0.9858072443235246,3.4812152833333334
25,2500,0.999890625,0.9999124961717075,0.99986875,0.9998906226073695,0.98593125,0.9888091136566536,0.9829875,0.9858897128421792,3.496134883333333
26,2600,0.999915625,0.9999374972655054,0.99989375,0.9999156231542565,0.98605,0.9889224192128756,0.9831125,0.9860089011471197,3.3071674
27,2700,0.9999328125,0.9999437487695043,0.999921875,0.9999328117651287,0.98620625,0.9890488464198152,0.9833,0.9861660450684803,3.439467083333333
28,2800,0.9999453125,0.9999562490429478,0.999934375,0.9999453119018489,0.9861875,0.9890484333350098,0.9832625,0.986146979916255,3.514281416666667
29,2900,0.99995625,0.9999656243554567,0.999946875,0.9999562495898399,0.9862125,0.9891104795915802,0.98325,0.9861715331670072,3.6363971000000004
30,3000,0.9999671875,0.9999718747363256,0.9999625,0.9999671873461907,0.9862625,0.9891361750282912,0.983325,0.9862220272049145,3.4805394
31,3100,0.9999734375,0.9999812497070266,0.999965625,0.9999734372924789,0.9863,0.9891861985715723,0.98335,0.9862594654229978,3.53259985
32,3200,0.9999765625,0.9999812498242171,0.999971875,0.9999765623901362,0.98636875,0.9892615086700114,0.9834125,0.9863283331348298,3.6600957
33,3300,0.9999765625,0.9999812498242171,0.999971875,0.9999765623901362,0.98638125,0.9892371719915004,0.9834625,0.9863413839142998,3.65164915
34,3400,0.9999796875,0.9999843748535142,0.999975,0.9999796874047847,0.98650625,0.9894490624882104,0.9835,0.9864655620960513,3.67682815
35,3500,0.99998125,0.9999843749023432,0.999978125,0.999981249941406,0.98648125,0.9893992932862191,0.9835,0.9864408267146431,3.751430366666667
36,3600,0.99998125,0.9999843749023432,0.999978125,0.999981249941406,0.9865,0.9893873855748918,0.98355,0.9864600571686475,3.826347466666667
37,3700,0.9999859375,0.9999906249121085,0.99998125,0.9999859374340817,0.98655625,0.9894624331971078,0.9835875,0.9865162200282087,3.72135025
38,3800,0.9999859375,0.9999906249121085,0.99998125,0.9999859374340817,0.9865125,0.9894368853902065,0.983525,0.9864720853549981,3.7735198000000003
39,3900,0.9999859375,0.9999874999609374,0.999984375,0.9999859374780273,0.986525,0.9894617706237424,0.983525,0.9864844533600803,3.7696148833333334
40,4000,0.9999859375,0.9999906249121085,0.99998125,0.9999859374340817,0.98659375,0.989549404529849,0.983575,0.9865531573437314,3.8219950666666667
41,4100,0.9999875,0.9999937499218741,0.99998125,0.9999874999218745,0.9866125,0.9895621117231319,0.9836,0.9865720482954902,3.86263255
42,4200,0.9999875,0.9999937499218741,0.99998125,0.9999874999218745,0.98665,0.9895628992505408,0.983675,0.9866101652415937,3.8490103166666665
43,4300,0.9999875,0.9999937499218741,0.99998125,0.9999874999218745,0.9866125,0.9895374864817283,0.983625,0.9865723850001881,3.8194066833333333
44,4400,0.9999859375,0.9999906249121085,0.99998125,0.9999859374340817,0.9866375,0.9895503244303606,0.9836625,0.9865976279431308,3.8069756166666666
45,4500,0.9999890625,0.9999937499414057,0.999984375,0.9999890624487302,0.98660625,0.9895127318453316,0.9836375,0.9865663689076947,3.86442615
46,4600,0.999990625,0.999996874960937,0.999984375,0.9999906249414059,0.98665625,0.9895507186238636,0.9837,0.9866166855767362,3.89351135
47,4700,0.9999890625,0.9999937499414057,0.999984375,0.9999890624487302,0.98665625,0.9895630304935555,0.9836875,0.9866165177871807,3.9258898
48,4800,0.9999921875,0.9999968749707029,0.9999875,0.9999921874633787,0.98665,0.9895875251509054,0.98365,0.9866098294884654,3.98263505
49,4900,0.99999375,0.9999968749804686,0.999990625,0.9999937499804686,0.9866625,0.9896001006036217,0.9836625,0.9866223671013039,3.8553678833333334
50,5000,0.99999375,0.9999968749804686,0.999990625,0.9999937499804686,0.98670625,0.9896502722619751,0.9837,0.9866661651590093,3.8597254333333333
51,5100,0.9999953125,0.9999968749902344,0.99999375,0.9999953124926758,0.9867,0.9896501421061898,0.9836875,0.9866598126857157,3.70616215

