feature,importance
imports_850,2380.712646484375
header_11,2262.305419921875
imports_522,1141.0247802734375
imports_1043,1085.37109375
section_67,1046.6954345703125
imports_1055,982.2366943359375
byteentropy_253,753.693359375
imports_1235,752.0935668945312
imports_900,512.090576171875
imports_117,471.54534912109375
datadirectories_28,469.5863037109375
byteentropy_254,455.26226806640625
header_13,447.79217529296875
imports_468,390.38116455078125
header_29,383.16412353515625
byteentropy_255,377.20367431640625
byteentropy_248,364.92138671875
header_28,272.34075927734375
byteentropy_252,263.8228454589844
section_86,256.9289245605469
header_30,247.06333923339844
datadirectories_9,243.34141540527344
imports_539,231.1814727783203
section_141,228.47265625
section_41,212.1936492919922
section_43,211.94235229492188
imports_346,205.30072021484375
imports_820,202.64443969726562
imports_376,195.25241088867188
header_57,191.99142456054688
imports_790,186.49000549316406
imports_994,181.634033203125
imports_800,173.48468017578125
header_32,170.8303985595703
byteentropy_242,163.7263946533203
general_2,163.37905883789062
imports_780,160.1176300048828
byteentropy_241,157.29994201660156
imports_1029,155.2774200439453
imports_266,152.0793914794922
imports_461,145.2884063720703
imports_1095,143.3683319091797
imports_729,140.67031860351562
section_113,138.39418029785156
imports_701,133.7059783935547
imports_1266,130.42196655273438
imports_1015,123.81707763671875
section_49,123.24703979492188
byteentropy_247,117.29315185546875
imports_277,114.46756744384766
imports_294,113.43632507324219
datadirectories_6,108.67798614501953
imports_713,108.60844421386719
header_14,108.20189666748047
imports_504,106.70195770263672
general_7,106.27506256103516
datadirectories_13,105.22824096679688
imports_1104,104.90190124511719
imports_1069,102.97430419921875
section_122,102.08064270019531
imports_1005,96.53577423095703
imports_759,96.38199615478516
imports_975,95.74551391601562
imports_304,95.706298828125
imports_628,94.50666046142578
imports_736,93.340576171875
exports_41,91.87763977050781
imports_1020,90.33100128173828
imports_272,87.26152801513672
imports_1098,87.1498794555664
imports_380,87.0731201171875
strings_101,87.00225067138672
imports_1244,86.25070190429688
imports_402,86.1768798828125
section_82,85.50440979003906
imports_292,85.17262268066406
imports_671,83.7646255493164
strings_99,83.17862701416016
imports_988,83.03063201904297
section_3,80.75653076171875
imports_140,80.13920593261719
exports_46,78.44027709960938
imports_1186,77.82498168945312
section_144,76.75346374511719
histogram_55,76.48101043701172
imports_764,76.18488311767578
imports_490,74.36715698242188
imports_1061,73.8876953125
imports_821,73.50800323486328
imports_881,72.91535949707031
imports_1260,72.89264678955078
imports_910,71.69151306152344
datadirectories_12,71.28397369384766
imports_508,71.18275451660156
section_242,70.64346313476562
imports_1128,70.29553985595703
imports_1253,69.83659362792969
imports_1065,68.97748565673828
imports_834,67.4619369506836
imports_1157,67.20738983154297
imports_362,66.74626922607422
section_218,66.56704711914062
imports_839,65.41481018066406
imports_71,64.80304718017578
imports_672,64.3363037109375
imports_580,64.23482513427734
imports_1192,63.99085235595703
datadirectories_4,63.670509338378906
imports_867,62.6084098815918
imports_1271,61.90017318725586
imports_897,61.27509307861328
imports_830,61.07738494873047
histogram_95,60.480281829833984
imports_785,58.371826171875
imports_1272,58.2638053894043
imports_603,57.57029342651367
histogram_43,56.87492752075195
imports_654,56.71199417114258
imports_1002,55.84415817260742
header_15,55.229225158691406
section_72,55.02407455444336
imports_582,54.623802185058594
imports_1279,54.472801208496094
imports_638,54.39505386352539
imports_905,53.93052291870117
imports_311,53.86131286621094
header_34,53.46626281738281
histogram_123,53.09510040283203
imports_797,52.52679443359375
imports_1045,51.87021255493164
header_56,51.819915771484375
section_16,51.436317443847656
imports_1113,51.006103515625
imports_665,50.80492401123047
imports_548,50.5297737121582
strings_103,50.52133560180664
imports_1258,50.08320617675781
imports_567,49.340606689453125
section_74,48.97578430175781
imports_478,48.58824157714844
imports_372,48.46152114868164
imports_747,47.68159484863281
datadirectories_1,47.55060577392578
imports_307,47.18505096435547
imports_439,46.81235885620117
imports_430,46.65913772583008
section_99,46.0673828125
imports_356,45.46146774291992
byteentropy_120,44.89060592651367
imports_661,44.87692642211914
section_97,44.80559158325195
section_147,44.79322052001953
imports_323,44.69700241088867
imports_1129,44.49256134033203
imports_899,44.11163330078125
header_55,43.9213981628418
general_4,43.39212417602539
histogram_32,42.7984619140625
imports_1156,42.742427825927734
imports_1046,42.7374267578125
imports_300,42.46946716308594
byteentropy_251,42.45737838745117
imports_343,42.1535530090332
section_22,41.513427734375
byteentropy_236,41.38238525390625
histogram_1,41.351593017578125
imports_1187,40.98492431640625
section_5,40.813507080078125
imports_1137,40.54941940307617
imports_1103,40.54712677001953
section_228,40.16770935058594
imports_998,39.99434280395508
histogram_40,39.819190979003906
datadirectories_0,39.62067413330078
imports_576,39.49125289916992
imports_438,39.465087890625
imports_523,39.1690559387207
imports_737,38.9168701171875
header_31,38.864234924316406
imports_212,38.71879577636719
imports_258,38.3792610168457
imports_1144,38.326045989990234
section_4,38.273250579833984
histogram_109,38.01905822753906
datadirectories_20,37.82355880737305
byteentropy_0,37.56795120239258
imports_702,37.37466049194336
section_89,37.2739143371582
imports_379,36.92880630493164
imports_650,36.86199951171875
imports_1166,36.83345413208008
imports_463,36.76531219482422
histogram_21,36.754364013671875
imports_597,36.532615661621094
imports_1059,36.39775848388672
imports_1121,36.2982177734375
section_17,36.155399322509766
imports_365,35.714603424072266
imports_1163,35.71065139770508
imports_752,35.235939025878906
imports_753,35.03090286254883
imports_876,34.90886306762695
byteentropy_249,34.80561065673828
section_1,34.66569900512695
imports_735,34.402099609375
imports_965,34.3985481262207
imports_896,33.76955795288086
section_34,33.7247428894043
imports_361,33.658695220947266
section_83,33.64988708496094
section_152,33.5566520690918
imports_486,33.324913024902344
imports_898,33.05609893798828
imports_1176,32.929447174072266
imports_656,32.9235954284668
histogram_11,32.666603088378906
imports_754,32.48051452636719
imports_1167,32.28292465209961
imports_457,32.23280715942383
imports_217,32.18439865112305
section_143,32.15415954589844
byteentropy_244,32.152889251708984
imports_1150,32.09410095214844
imports_581,31.89776611328125
imports_417,31.826122283935547
section_90,31.495929718017578
section_145,31.420177459716797
imports_829,31.11312484741211
imports_495,30.81093406677246
strings_100,30.77159881591797
header_53,30.76226234436035
imports_968,30.616851806640625
imports_423,30.52497673034668
imports_571,30.380874633789062
imports_563,30.373443603515625
imports_319,30.21712875366211
section_189,30.119165420532227
section_233,29.81957244873047
section_116,29.66010856628418
imports_984,29.573925018310547
imports_972,29.563491821289062
imports_969,29.493839263916016
imports_1247,29.171527862548828
datadirectories_3,28.810523986816406
section_66,28.666725158691406
imports_360,28.59217071533203
imports_832,28.555984497070312
imports_81,28.34359359741211
header_59,28.302200317382812
header_60,28.26343536376953
section_227,28.230453491210938
section_39,28.145570755004883
imports_1153,28.144540786743164
