iteration,learn_Recall,learn_Accuracy,learn_F1,learn_Logloss,learn_Precision,test_Recall,test_Accuracy,test_F1,test_Logloss,test_Precision
0,0.826053125,0.8014171875,0.8061918333798439,0.6535920712677455,0.7872631914393017,0.825275,0.80091875,0.8056523304270365,0.6536083891367857,0.7869411301953586
1,0.815378125,0.8082078125,0.8095732319353882,0.6245072314431703,0.8038504077464116,0.81475,0.8075875,0.8089558536978889,0.6246193861811871,0.8032435363419023
2,0.81129375,0.8172484375,0.8161536901769758,0.5988501331897431,0.8210722068130137,0.81065,0.81679375,0.8156612186118465,0.599007742298798,0.8207347785919485
3,0.83111875,0.82981875,0.8300396983920902,0.5767365431493593,0.8289634450428884,0.8304375,0.829375,0.8295560966473123,0.5770303312672588,0.8286765623051017
4,0.847959375,0.83620625,0.8381089754479384,0.5528188840330607,0.8284848040742301,0.847475,0.83576875,0.8376690368375208,0.5531596368550274,0.8280874036617688
5,0.821915625,0.8253,0.8247067418795486,0.5359305187334144,0.8275168798806924,0.8205375,0.82445625,0.82376563156871,0.5363282781511914,0.827019263477505
6,0.8300125,0.8352015625,0.8343419525380923,0.5210586186491679,0.8387168078716934,0.8285625,0.83415625,0.8332233430753275,0.5214515996529895,0.8379369192844953
7,0.84828125,0.84395625,0.8446282328927389,0.5048592934573952,0.8410065433995935,0.8466875,0.8427875,0.8433982468373344,0.5052946320804592,0.8401344512800158
8,0.841240625,0.841721875,0.8416456669772329,0.49222258264658386,0.8420510991829636,0.840325,0.84116875,0.8410346229631251,0.49271927891262784,0.8417454454391786
9,0.848246875,0.8455421875,0.8459588207519974,0.4792155230570068,0.8436830768561314,0.847325,0.8448125,0.8452014314035984,0.47972728571017154,0.8430884803860601
10,0.85669375,0.848959375,0.8501186138460347,0.46639021730010516,0.8436436374826897,0.8558875,0.8481125,0.8492843144551114,0.4670060824008776,0.8427822362266753
11,0.85201875,0.847259375,0.8479828814734871,0.4568232537923302,0.8439850671421407,0.85055,0.8460875,0.8467712831489478,0.4575054600712747,0.8430259930123647
12,0.859515625,0.8505171875,0.8518503032865202,0.4461048704654881,0.8443204945987678,0.8582375,0.8494125,0.8507298094317647,0.44685470889875517,0.8433523313516434
13,0.858890625,0.8509296875,0.8521070539997986,0.43749091896336084,0.8454297974438241,0.8580375,0.8501125,0.851291018676985,0.4382541704766838,0.8446498006595462
14,0.864628125,0.8533546875,0.8549894548179509,0.4301234411484153,0.8455633146402213,0.8630125,0.8518625,0.8534960193838698,0.4309036032472169,0.8441871270664189
15,0.867053125,0.85518125,0.8568803486113299,0.4236638400179696,0.8469435100336388,0.8656,0.85409375,0.8557534864465741,0.4244852339656249,0.8461284686159749
16,0.86504375,0.85869375,0.8595853828190987,0.4175399808955227,0.8541954675619631,0.86355,0.85711875,0.8580317830949704,0.41840492755042524,0.8525836428932851
17,0.87135,0.8615171875,0.8628656043002167,0.41016188711523216,0.8545448415994213,0.86945,0.85974375,0.8610920255272264,0.4111344092278303,0.8528932105501944
18,0.8712625,0.8605109375,0.8619947100007574,0.40486833061981814,0.8529220113741698,0.8694875,0.85905,0.8605059689490938,0.40590156980086173,0.8517080935472021
19,0.877015625,0.8630484375,0.8649349168411822,0.39882112365842326,0.8531825049629262,0.8756125,0.8617,0.8635976970399319,0.3999068292655293,0.8519081555712306
20,0.877565625,0.8641171875,0.8659203493024282,0.39229732933905387,0.8545800911118753,0.8761625,0.862675,0.864502522231404,0.39337821669826156,0.8531488108279169
21,0.881746875,0.8674640625,0.8693303920103645,0.38730492062928773,0.8572587432133949,0.8803875,0.8661875,0.8680610333267601,0.38843568845541315,0.8560749708284714
22,0.885540625,0.86983125,0.8718444929190496,0.38205813289102086,0.8585655680585601,0.8838,0.86815625,0.8701870119320875,0.3832541598684305,0.8569870186538672
23,0.88758125,0.8712625,0.8733296025484131,0.3768235686414292,0.8595283921027466,0.88605,0.86986875,0.8719409062113673,0.37800571265395394,0.858274104299604
24,0.886715625,0.8720046875,0.8738603204422442,0.3725391502740632,0.8613724329493192,0.8850125,0.870675,0.8725029884037611,0.37378113188255563,0.8603421877658153
25,0.886534375,0.873334375,0.8749845785629687,0.36841591676629143,0.8637318540530008,0.8854875,0.87229375,0.8739567333493717,0.36969531134043365,0.8627224123442657
26,0.892840625,0.877159375,0.8790559292100745,0.3649992424029661,0.8656904095310815,0.8918375,0.87633125,0.8782196072156129,0.3663064149799875,0.8650113359440356
27,0.894209375,0.8783828125,0.8802776064442597,0.36129965369643074,0.866773291652657,0.8934875,0.87784375,0.8797252973791253,0.36261931818365595,0.8663806164624317
28,0.893959375,0.8788375,0.8806424105479945,0.3578235035550617,0.8677163777989432,0.8935,0.878275,0.8801004703390874,0.35916350662033936,0.8670968994128778
29,0.896246875,0.8798140625,0.8817571254863439,0.3544578594233106,0.8677284375690206,0.8960125,0.87929375,0.8812786230213616,0.3558303450583607,0.8670214696099183
30,0.895975,0.8804765625,0.8823007174740236,0.3507839705378095,0.8690375516414635,0.8954625,0.87985,0.8816970055016062,0.3522207333340776,0.8683483235957236
31,0.895846875,0.8808,0.8825669996767391,0.3472347091670936,0.8696750902527076,0.89515,0.88,0.8817908683445798,0.3486614249558701,0.8688246141900418
32,0.8959,0.8816671875,0.8833277615931993,0.3438403820227697,0.8711034945868997,0.895375,0.88101875,0.8827026993721387,0.34527112140295774,0.8703840966256364
33,0.896140625,0.882078125,0.8837134052388289,0.34146468052574963,0.8716261398176292,0.8955625,0.881475,0.8831215255093865,0.34289625219141145,0.8710214700804824
34,0.896646875,0.8827203125,0.8843311815297273,0.33877757154581684,0.8723492230468239,0.89605,0.8820125,0.8836458217768081,0.34021234290503055,0.8715803808087932
35,0.897153125,0.8835921875,0.8851496657052256,0.3362025112837333,0.873463166189504,0.89675,0.88288125,0.8844833219289973,0.3376045593117192,0.872547707950717
36,0.897,0.883946875,0.8854422121248576,0.33355562677023154,0.8741784781059466,0.89655,0.88318125,0.8847223678448738,0.33497200728483184,0.8732027416939578
37,0.897534375,0.884590625,0.8860653664134854,0.3309086132224378,0.8748857696384837,0.8971,0.88365625,0.8851995979056558,0.33232109679408317,0.8736107898869155
38,0.898346875,0.8854828125,0.8869372586708791,0.3281525503975692,0.8758138273726286,0.89785,0.88443125,0.8859615040672969,0.32958843530179616,0.8743837267337822
39,0.89870625,0.885865625,0.887312601624762,0.3257660410171933,0.8762042301153502,0.8981375,0.8848125,0.8863271901907089,0.3272322059936288,0.8748234549262164
40,0.899975,0.8872125,0.8886338109872749,0.32353858650195433,0.8775749006606373,0.8995875,0.8862875,0.8877800256587388,0.32498370416834416,0.8762784921098773
41,0.89980625,0.88795,0.8892629264285318,0.32112929287790176,0.878963820408562,0.899225,0.88684375,0.8882276316358091,0.32260872451104516,0.87749600517193
42,0.900046875,0.8887875,0.8900257414177247,0.31880058717219584,0.8802253014920264,0.899675,0.88779375,0.8891112469966215,0.3202894994816642,0.8787926887339593
43,0.900334375,0.8888609375,0.8901216202229729,0.31664550485608595,0.8801379592659687,0.8995875,0.887625,0.8889533950121669,0.31815397937746254,0.878567766193813
44,0.900809375,0.8891625,0.8904385485300886,0.31476376161865055,0.8803037983961106,0.900175,0.88803125,0.8893746565149466,0.3163063521991757,0.8788304065020807
45,0.900409375,0.8892671875,0.8904873974512114,0.3127696786175229,0.8807817051884413,0.899925,0.88823125,0.8895231387957075,0.31431517469037173,0.8793589915843216
46,0.9012375,0.8901578125,0.891361493205747,0.31092248956106994,0.8816995881879967,0.9007125,0.8890875,0.8903620412702337,0.31248102595704125,0.8802467627656976
47,0.900753125,0.8905328125,0.8916402826734886,0.3090480376307791,0.8827099812887202,0.8999,0.88928125,0.8904445914940724,0.3106463174083675,0.8811858162278609
48,0.9005625,0.8906046875,0.8916832850382055,0.3074727020140376,0.8829774521789486,0.8996875,0.88948125,0.8905978358379786,0.3090306108172943,0.881690002817488
49,0.901628125,0.8913375,0.8924443152187026,0.3054250806521301,0.8834457080217768,0.9009,0.89026875,0.8914230586081718,0.30699782459232056,0.8821434254170696
50,0.901940625,0.89190625,0.8929801275327881,0.3039156490983808,0.8841959181672804,0.9012875,0.89065625,0.8918064823346794,0.3055094988214121,0.8825228577373594
51,0.901346875,0.8918390625,0.8928577509151272,0.3022401394868959,0.8845270404955763,0.9008625,0.89075625,0.8918492485320233,0.30382073406915144,0.8830145680434224
52,0.90275,0.8930875,0.8941106557884443,0.3005546223834295,0.8856351016604125,0.9018375,0.89186875,0.8929360438132369,0.30215280746196016,0.8842085912126969
53,0.90380625,0.893475,0.8945642827537998,0.29901656028668205,0.885509411779114,0.902975,0.89234375,0.8934762308210834,0.3006482650853261,0.8841752242934603
54,0.903784375,0.893775,0.8948277089012168,0.2967706713153001,0.8860468251196363,0.902975,0.89261875,0.8937194182744947,0.2984144657831185,0.8846516526445988
55,0.904071875,0.8941515625,0.8951912975807187,0.29558795695286755,0.8864834885352797,0.9033125,0.89295,0.8940479283425504,0.2972478580757487,0.8849714663596954
56,0.90516875,0.8948984375,0.895966890049538,0.2943658932655032,0.8869502377722592,0.9043625,0.89369375,0.894815932519928,0.2960232064335119,0.8854688092819465
57,0.906453125,0.8959328125,0.8970162339017801,0.29264290672325616,0.8877738091958878,0.9056,0.89476875,0.8958963229520258,0.29429063451806453,0.886398394773225
58,0.90729375,0.8966109375,0.8977037491671008,0.2908521270945122,0.8883143585334585,0.906675,0.895625,0.8967657385885959,0.2924800372500062,0.8870707367185207
59,0.90745625,0.8969671875,0.8980366870621125,0.2896006027336115,0.8888106686908693,0.907125,0.896125,0.8972551928783382,0.2912110270610188,0.8875978473581213
60,0.906634375,0.896628125,0.8976522422509762,0.28812273254341547,0.8888463376674306,0.9063125,0.89583125,0.8969117437854488,0.2897552756884124,0.8877040047993927
61,0.907290625,0.8971875,0.898215838110589,0.2868232472832672,0.889320786850698,0.9069625,0.89649375,0.8975661048399567,0.2884688755130605,0.8883624119987756
62,0.907125,0.897115625,0.8981352277051884,0.28557446450446,0.8893218874653039,0.907,0.8964875,0.8975643547209956,0.28723020000031163,0.888323008741216
63,0.90684375,0.89721875,0.8981985885848706,0.28440888546032966,0.8897167034584254,0.9067375,0.89669375,0.8977210145600129,0.28604139394950207,0.8888820811940152
64,0.907215625,0.898190625,0.8991012363420132,0.28300395995753835,0.8911307155837139,0.9072375,0.89754375,0.898527400016094,0.28462137178368946,0.8899829554511901
65,0.90784375,0.8986234375,0.899549621381605,0.2817016715208957,0.8914056722747092,0.9079875,0.89825,0.8992312358409983,0.28332883299106026,0.8906422423306113
66,0.907590625,0.898925,0.8997933532234728,0.2806458299835155,0.8921289157292671,0.9078375,0.89845625,0.8994000037151473,0.28223436845689154,0.8911179003938602
67,0.907453125,0.8990359375,0.899878677444696,0.279449084955051,0.8924296299483384,0.9077125,0.8986625,0.8995713790198702,0.28099208509090823,0.8915749926333366
68,0.907653125,0.89931875,0.9001509295961471,0.27848000680998175,0.8927717361234916,0.9078125,0.89890625,0.8997986681121265,0.28002528576901625,0.8919250844335278
69,0.907984375,0.899890625,0.900694379862984,0.2773780752445784,0.8935205117165878,0.90825,0.899425,0.9003048100512973,0.27891673760653135,0.8924974205276863
70,0.908621875,0.9003765625,0.9011912713454842,0.2765276386166638,0.8938812150874486,0.908625,0.899825,0.9006988501189531,0.27808261894188235,0.8929097877358491
71,0.908490625,0.9003671875,0.9011700266119445,0.27511693052434905,0.8939664636115118,0.9084,0.89991875,0.9007604256400404,0.27667370688728615,0.893248276116376
72,0.908203125,0.9006640625,0.9014073585856628,0.2739696439688398,0.8947125375202032,0.9083,0.90013125,0.9009404427582189,0.27551494580967084,0.8936991894916797
73,0.90865625,0.9008921875,0.9016557384928577,0.27302562859542356,0.8947622696318726,0.908825,0.90048125,0.9013047385874113,0.2745518285791302,0.8939079117231205
74,0.908990625,0.90156875,0.9022939123691353,0.2718280240350304,0.8956951501154734,0.9091875,0.90113125,0.9019213957554453,0.2733467685065496,0.8947705101551255
75,0.90935625,0.9020625,0.9027716592106324,0.27070619486557107,0.896281740116057,0.9094625,0.9014125,0.9021997916770002,0.2722443636632605,0.8950521602204508
76,0.909334375,0.9024390625,0.9031071688497904,0.2697869574407344,0.8969646715760465,0.9095625,0.9018875,0.9026347780782494,0.27133483352678134,0.8958117890382626
