feature,importance
feature_263,0.016769041842792817
feature_297,0.01086154337011106
feature_1861,0.009977842254485633
feature_255,0.009527623622439989
feature_252,0.009456774422001315
feature_244,0.009185561990133284
feature_245,0.008774178803631858
feature_248,0.008683122629413006
feature_1859,0.008288283479222279
feature_266,0.008164697855386791
feature_254,0.007957570680760655
feature_253,0.007949143890342887
feature_265,0.006755383869481185
feature_243,0.006637710454674943
feature_249,0.006580310796101958
feature_246,0.006348803788674476
feature_250,0.006274941465231185
feature_429,0.006232647864784851
feature_1696,0.006165484919075484
feature_306,0.006137214832096669
feature_260,0.00600182302545665
feature_251,0.00596716254263317
feature_309,0.005798674201130581
feature_292,0.005734257547879833
feature_240,0.005560078947586813
feature_324,0.005364462412707439
feature_355,0.005345544851888613
feature_1695,0.005307967232687116
feature_621,0.005278478107941018
feature_299,0.005178605477445413
feature_289,0.0051613017590123695
feature_287,0.005154655317114402
feature_247,0.005102159046025579
feature_329,0.005077033444718358
feature_1857,0.005072897703951611
feature_242,0.004917891162916556
feature_437,0.004828222185771601
feature_434,0.00472780718982657
feature_438,0.004654063047971834
feature_318,0.004591266809946886
feature_428,0.0045501576739417435
feature_549,0.004510685272523034
feature_314,0.0044528721251945865
feature_561,0.0044128707720863716
feature_1832,0.004370489725373457
feature_241,0.0041267393995398595
feature_285,0.004041386238422542
feature_259,0.003999883735059524
feature_298,0.003999221930057942
feature_300,0.003934450135074607
feature_1863,0.003930385395865396
feature_1854,0.00391610519064782
feature_480,0.0037924955305931284
feature_418,0.003782972319663225
feature_0,0.0035818716999424572
feature_305,0.0035172667753992585
feature_320,0.003459135212954338
feature_264,0.003437302570816312
feature_295,0.003433271878182318
feature_504,0.003321465155887947
feature_433,0.0032899162377104914
feature_1789,0.003277046992938108
feature_327,0.0032227168371848983
feature_513,0.0031242655627390006
feature_1739,0.003104986846786632
feature_482,0.0031043125760313157
feature_258,0.0030708940204501253
feature_1830,0.003019376791868057
feature_514,0.0029796545020507287
feature_1858,0.002844434121034985
feature_371,0.002828607958388746
feature_1856,0.0028243590066670725
feature_546,0.0027711717381481175
feature_333,0.002758215843201189
feature_316,0.00272639801102582
feature_490,0.0027213222774243834
feature_1737,0.0027112256657339196
feature_128,0.0027058836566994397
feature_412,0.002682918149082801
feature_478,0.00265631703455031
feature_261,0.0026360474239554015
feature_1787,0.002628515318608293
feature_117,0.0025681567788724997
feature_286,0.0025307595903787143
feature_144,0.0025268547342270856
feature_325,0.0025123547475321643
feature_422,0.002472667040002527
feature_439,0.0024621018149345855
feature_481,0.002457612225966269
feature_568,0.0024474702705832873
feature_216,0.0023979214767751453
feature_505,0.0023325800368430706
feature_378,0.002309687076826941
feature_545,0.002293172422990482
feature_310,0.0022823482657971395
feature_431,0.00223378968363279
feature_448,0.0022285952528968618
feature_567,0.0021788209617476166
feature_424,0.0021741613467587836
feature_435,0.002158923178795257
feature_496,0.0021555692740056983
feature_406,0.002150602232564566
feature_464,0.002138678359852042
feature_426,0.0021094570394193522
feature_432,0.0021090611795682463
feature_1860,0.0021046243473227338
feature_146,0.002088757110853667
feature_560,0.002081793940806882
feature_500,0.002043773426836171
feature_462,0.002036793456659221
feature_576,0.0020353675610259437
feature_326,0.0020164713301430983
feature_574,0.002015905113693975
feature_130,0.0020150410414672636
feature_436,0.0020138087270682925
feature_477,0.0020065740119441363
feature_450,0.0020010544692079
feature_1800,0.001978830469484481
feature_559,0.001961317185990859
feature_390,0.0019514780740960001
feature_502,0.0019484478999050097
feature_493,0.0019401998980598189
feature_328,0.0019310414458729762
feature_457,0.0019288803407057859
feature_397,0.001924109145582078
feature_569,0.0019168739572274897
feature_344,0.0019112099302017148
feature_134,0.0019107770126569365
feature_119,0.0019061074516640325
feature_256,0.0019002596022456811
feature_369,0.001899018729125545
feature_420,0.0018980853133338652
feature_118,0.001888147848400334
feature_1751,0.0018602703784720122
feature_1702,0.0018267308255942587
feature_501,0.0018230198448805494
feature_377,0.001779321149239965
feature_133,0.0017679714859961083
feature_366,0.0017489294369086908
feature_311,0.0017361315745057276
feature_578,0.0017031292755205357
feature_380,0.0016966440481433944
feature_451,0.0016924821788124541
feature_556,0.001691913564900125
feature_443,0.0016913258337790198
feature_446,0.0016907954920217176
feature_1692,0.0016814656743580074
feature_555,0.0016801811675136572
feature_323,0.0016797247172491358
feature_440,0.0016774932864682963
feature_129,0.0016690793493188865
feature_257,0.0016632303562340942
feature_536,0.0016424060018328602
feature_554,0.0016156013969701084
feature_135,0.0016099650747137565
feature_404,0.001598798358982856
feature_544,0.0015838519833605489
feature_503,0.0015743669467680745
feature_274,0.001555061020728475
feature_1822,0.0015464904025197363
feature_376,0.0015358824023256408
feature_222,0.0015351282802391212
feature_382,0.0015101211394527717
feature_1760,0.001506124314040073
feature_497,0.0015028857856543795
feature_575,0.0014994748828411199
feature_336,0.0014974689867877037
feature_1728,0.0014882207248071333
feature_476,0.0014869279404905243
feature_488,0.0014847414041810948
feature_386,0.0014823303609142469
feature_370,0.0014749707687384127
feature_417,0.0014684588207652025
feature_469,0.0014651291486756312
feature_368,0.0014368898595534883
feature_460,0.0014349632142489617
feature_116,0.0014314374167724783
feature_394,0.0014228199597418228
feature_150,0.0014217111501855974
feature_339,0.0014161788980504993
feature_331,0.0014086424536036033
feature_321,0.0014042202785860896
feature_387,0.001399214564933237
feature_1711,0.0013924866838474527
feature_456,0.0013880831658581044
