epoch,train_accuracy,train_precision,train_recall,train_f1,test_accuracy,test_precision,test_recall,test_f1,time_minutes
1,0.95109375,0.9582801556914363,0.943253125,0.9507072641429206,0.94586875,0.9542670113727538,0.936625,0.9453637057550734,1.65213225
2,0.96014375,0.9654175121849456,0.954478125,0.9599166527859403,0.95384375,0.960445385717728,0.946675,0.9535104782408894,1.6428888499999998
3,0.966359375,0.9669109135165914,0.96576875,0.9663394942637995,0.9585625,0.9597924447898127,0.957225,0.9585070031166686,1.6875049666666666
4,0.9681796875,0.9664233122149406,0.9700625,0.9682394865916517,0.9595375,0.9584715536377921,0.9607,0.9595844830384678,1.6396213499999999
5,0.9730796875,0.9734036731388044,0.9727375,0.9730704725523265,0.96385625,0.9645472640552822,0.9631125,0.9638293480776328,1.6474183833333333
6,0.97489375,0.9764929795626571,0.973215625,0.974851547753574,0.96446875,0.9673017669622084,0.9614375,0.9643607184277341,1.6426475166666668
7,0.97549375,0.9740006479589294,0.97706875,0.9755322866485285,0.96471875,0.9637622403792179,0.96575,0.9647550963069335,1.6514979333333335
8,0.9778390625,0.9797505686720527,0.975846875,0.9777948256291832,0.96626875,0.9684058516983738,0.9639875,0.9661916246437184,1.6524738666666667
9,0.9785828125,0.979543397868856,0.97758125,0.9785613403424367,0.9669625,0.9687202007528231,0.9650875,0.9669004383218535,1.6564343166666666
10,0.979128125,0.9794157744646788,0.978828125,0.9791218615584676,0.96678125,0.9672192680638099,0.9663125,0.9667656714084727,1.6465066333333334
11,0.979065625,0.9780438063638972,0.980134375,0.9790879747270105,0.96665625,0.9663472949171175,0.9669875,0.966667291459704,1.64617575
12,0.98145625,0.9813629859214777,0.981553125,0.9814580462517694,0.9687125,0.9690760339262928,0.968325,0.9687003713939152,1.64698955
13,0.981640625,0.9823460561070566,0.980909375,0.9816271898826017,0.968275,0.969660498470488,0.9668,0.9682281365013394,1.6519812333333335
14,0.982296875,0.9819023174775653,0.98270625,0.9823041192511816,0.96875625,0.968340597719524,0.9692,0.9687701082644576,1.6442648833333335
15,0.9831390625,0.9873500717133986,0.97881875,0.983065901904321,0.96935,0.9747502844860286,0.9636625,0.9691746809981772,1.6430472333333335
16,0.983184375,0.9819163326497155,0.9845,0.983206468989236,0.969375,0.9682161649916456,0.9706125,0.9694128515961498,1.6493312
17,0.98368125,0.9829327043083221,0.98445625,0.983693887237391,0.96964375,0.9691569996129016,0.9701625,0.9696594891400087,1.64793985
18,0.983590625,0.9822704097533004,0.984959375,0.9836130546314732,0.96955,0.9682622787334829,0.970925,0.9695918112595182,1.6506837833333334
19,0.9845078125,0.9857084230081232,0.983271875,0.9844886414302677,0.97039375,0.972265100460575,0.9684125,0.9703349761715399,1.6422594166666669
20,0.9839921875,0.9827686706503206,0.985259375,0.9840124467276623,0.9700125,0.9689924414398683,0.9711,0.9700450759798719,1.6422279666666666
21,0.985215625,0.9862702235473182,0.98413125,0.9851995757899973,0.97074375,0.97223720014546,0.9691625,0.9706974152879241,1.64387975
22,0.985434375,0.98634018359194,0.984503125,0.9854207981182476,0.9711875,0.9726171669299631,0.969675,0.9711438550808097,1.6559397833333334
23,0.984896875,0.9834796752020639,0.9863625,0.9849189781226889,0.97036875,0.9686406376486705,0.9722125,0.9704232820736767,1.6474904166666666
24,0.984984375,0.9897997184823294,0.98006875,0.9849101991979323,0.97063125,0.9761486221592706,0.9648375,0.9704601032230485,1.6444224833333334
25,0.9853,0.985822258928348,0.9847625,0.9852920945007941,0.97108125,0.9719839192455572,0.970125,0.9710535699762898,1.6482129833333334
